DEPNO	LONGITUDE	LATITUDE	COUNTRY	LOCATION	ALLNAMES	COMMODITIES	DEPCLAN	DBNAME	COMPBY	RELDATE	URL	TITLE
40016	-104.086490	58.303135	Canada (Saskatchewan)	58.18.11 N -- 104.05.11 W	Midwest Lake Uranium Deposit; Mink Arm Main, A, B and C Zones; South McMahon Lake Deposit	U; Ni; Ag; Co; As	Unconformity-associated	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp40016.html	U-Th-REE deposits & occurrences, v.3.7n
907	-104.668889	59.413889	Canada (Saskatchewan)	59.24.50 N -- 104.40.08 W	Mike Group; Chestnut Lake U-Mo; H-6 U-Mo Showing	U; Mo; Th	Intrusion-related	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp907.html	U-Th-REE deposits & occurrences, v.3.7n
40023	-105.625577	57.625114	Canada (Saskatchewan)	57.37.30 N -- 105.37.32 W	Millennium Deposit; Cree Lake Extension Project	U	Unconformity-associated	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp40023.html	U-Th-REE deposits & occurrences, v.3.7n
751	-108.977778	59.371389	Canada (Saskatchewan)	59.22.17 N -- 108.58.40 W	Mitchell Island; North Zone and Central Zone Uranium	U	Veins	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp751.html	U-Th-REE deposits & occurrences, v.3.7n
1853	-104.509722	59.400000	Canada (Saskatchewan)	59.24.00 N -- 104.30.35 W	Mozzie Lake Area; Numac Oil and Gas Radioactive Anomaly 20A; M-79	U	Intrusion-related	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp1853.html	U-Th-REE deposits & occurrences, v.3.7n
1883	-104.293056	57.428611	Canada (Saskatchewan)	57.25.43 N -- 104.17.35 W	Mud Lake; CBS 1036	Mo; U; Th; Cu; Ag; Au	Veins	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp1883.html	U-Th-REE deposits & occurrences, v.3.7n
40078	-108.481810	59.509040	Canada (Saskatchewan)	59.30.33 N -- 108.28.55 W	Murmac Bay Mine; Black Bay U Mine A {or Powder Zone}, B and C Zones	U; Cu; Pb	Veins	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp40078.html	U-Th-REE deposits & occurrences, v.3.7n
867	-107.916667	59.433333	Canada (Saskatchewan)	59.26.00 N -- 107.55.00 W	Murray	U	Veins	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp867.html	U-Th-REE deposits & occurrences, v.3.7n
1824	-108.404167	59.565278	Canada (Saskatchewan)	59.33.55 N -- 108.24.15 W	Mw/gc/lee	U	Veins	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp1824.html	U-Th-REE deposits & occurrences, v.3.7n
40029	-109.489874	58.373132	Canada (Saskatchewan)	58.22.23 N -- 109.29.24 W	N Deposit; Cluff Lake N Uranium Deposit	U	Unconformity-associated	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp40029.html	U-Th-REE deposits & occurrences, v.3.7n
684	-105.803333	56.396111	Canada (Saskatchewan)	56.23.46 N -- 105.48.12 W	Narrows U Zone; Portage U Zone; Cross U Zone; Cross & Narrow Lakes; CBS 1074; Lakes 6A & 6R	U; Mo	Intrusion-related	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp684.html	U-Th-REE deposits & occurrences, v.3.7n
40079	-108.423837	59.597337	Canada (Saskatchewan)	59.35.50 N -- 108.25.26 W	National Explorations U Mine {C & C2 Ore Shoots}; Keiller Adit; PAT Group C Showing	U; Cu; Pb	Veins	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp40079.html	U-Th-REE deposits & occurrences, v.3.7n
783	-108.423056	59.595278	Canada (Saskatchewan)	59.35.43 N -- 108.25.23 W	National Explorations Uranium Mine; Pat C Group; Keiller Adit	U; Cu; Pb	Veins	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp783.html	U-Th-REE deposits & occurrences, v.3.7n
2198	-104.238889	58.177778	Canada (Saskatchewan)	58.10.40 N -- 104.14.20 W	Natona Bay	U; Ni; As; Zn; Pb	Unconformity-associated	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp2198.html	U-Th-REE deposits & occurrences, v.3.7n
892	-104.823056	59.483333	Canada (Saskatchewan)	59.29.00 N -- 104.49.23 W	NC & PAR Claims; Spreckley Lake; CBS 263	U; Mo; Zr	Intrusion-related	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp892.html	U-Th-REE deposits & occurrences, v.3.7n
878	-107.750000	59.600000	Canada (Saskatchewan)	59.36.00 N -- 107.45.00 W	Neiman Lake; Showings - SMDC	U	Veins	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp878.html	U-Th-REE deposits & occurrences, v.3.7n
40074	-108.475817	59.575228	Canada (Saskatchewan)	59.34.31 N -- 108.28.33 W	Nesbitt-Labine Eagle Mine; Nesbitt Lake Uranium Showing or B and C Zones; Goldfields Uranium Occurrence 49-TT-1	U; Cu	Veins	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp40074.html	U-Th-REE deposits & occurrences, v.3.7n
845	-108.639444	59.624722	Canada (Saskatchewan)	59.37.29 N -- 108.38.22 W	New Hosco; Fold Lake No. 60; NN-60	U	Veins	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp845.html	U-Th-REE deposits & occurrences, v.3.7n
853	-108.638056	59.621111	Canada (Saskatchewan)	59.37.16 N -- 108.38.17 W	New Hosco; Fold Lake No. 70/75; NN-70/75	U	Veins	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp853.html	U-Th-REE deposits & occurrences, v.3.7n
